type,latitude,longitude,utm_zone,utm_easting,utm_northing,altitude,(m),name,desc,kml_folder
T,31.025037597,80.421316819,44R,444769.4,3432520.5,4803.2,,,,
T,31.024808787,80.441449133,44R,446690.8,3432485.3,4470.4,,,,
T,31.021745567,80.458176821,44R,448285.7,3432137.9,4569.7,,,,
T,31.018641033,80.478259732,44R,450200.9,3431784.7,4751.5,,,,
T,31.018443138,80.495038822,44R,451802.3,3431755.3,4569.5,,,,
T,31.015371105,80.511765277,44R,453397.4,3431407.8,4590.5,,,,
T,31.012336301,80.525130745,44R,454671.7,3431065.9,4705.0,,,,
T,31.009217358,80.545205058,44R,456586.5,3430712.2,4732.3,,,,
T,31.003224192,80.565225307,44R,458495.0,3430040.4,4847.9,,,,
T,30.9943888,80.585284753,44R,460406.3,3429053.9,4830.8,,,,
T,30.988463885,80.602051279,44R,462004.7,3428391.4,4675.7,,,,
T,30.979707111,80.615406837,44R,463276.5,3427416.4,4655.6,,,,
T,30.968118798,80.625348264,44R,464221.5,3426128.9,4513.9,,,,
T,30.962461704,80.618521874,44R,463567.4,3425504.2,4539.3,,,,
T,30.956804685,80.611696483,44R,462913.4,3424879.5,4647.8,,,,
T,30.951225413,80.598133432,44R,461615.7,3424265.7,4844.0,,,,
T,30.942893727,80.574425921,44R,459347.8,3423350.8,4656.9,,,,
T,30.940179776,80.560912213,44R,458055.7,3423055.0,4873.8,,,,
T,30.937544038,80.544164576,44R,456454.6,3422769.3,4817.5,,,,
T,30.937839675,80.513734642,44R,453547.8,3422814.4,4892.7,,,,
T,30.938116276,80.49024032,44R,451303.5,3422855.1,4822.8,,,,
T,30.935644829,80.463633831,44R,448760.5,3422593.1,4659.0,,,,
T,30.935783548,80.453641133,44R,447806.0,3422613.1,4683.8,,,,
T,30.93619539,80.423657003,44R,444941.8,3422673.2,4751.1,,,,
T,30.936414112,80.40350291,44R,443016.5,3422707.5,4679.4,,,,
T,30.936662876,80.37998586,44R,440770.1,3422747.4,4745.7,,,,
T,30.939616985,80.359507748,44R,438815.6,3423085.8,4546.9,,,,
T,30.939799977,80.342751702,44R,437215.1,3423115.4,4526.1,,,,
T,30.939908672,80.332698289,44R,436254.7,3423133.2,4371.1,,,,
T,30.940052347,80.319294512,44R,434974.4,3423156.9,4344.8,,,,
T,30.940300329,80.295839801,44R,432734.0,3423198.3,4528.1,,,,
T,30.940544231,80.272386835,44R,430493.7,3423239.7,4585.4,,,,
T,30.940783815,80.248935914,44R,428253.6,3423281.1,4633.1,,,,
T,30.940985853,80.228836459,44R,426333.7,3423316.6,4727.2,,,,
T,30.941184622,80.208738974,44R,424414.0,3423352.1,4566.7,,,,
T,30.941250139,80.202039963,44R,423774.1,3423363.9,4591.3,,,,
T,30.941476977,80.178595622,44R,421534.6,3423405.3,4659.4,,,,
T,30.938831097,80.155111533,44R,419289.0,3423128.9,4718.2,,,,
T,30.939032823,80.131633931,44R,417046.3,3423168.5,4818.1,,,,
T,30.936389723,80.108180344,44R,414803.4,3422893.2,4768.0,,,,
T,30.933704548,80.088059605,44R,412878.7,3422611.2,4795.5,,,,
T,30.930987517,80.071289841,44R,411274.1,3422323.3,4894.1,,,,
T,30.928240196,80.057870468,44R,409989.4,3422029.6,4674.9,,,,
T,30.922685925,80.037731409,44R,408059.9,3421430.4,5062.5,,,,
T,30.92274171,80.031035413,44R,407420.2,3421442.1,4980.6,,,,
T,30.917237843,80.0042054,44R,404851.1,3420854.7,5002.3,,,,
T,30.914510935,79.987445258,44R,403246.9,3420566.9,4894.2,,,,
T,30.911770987,79.96048021,44R,400667.3,3420287.0,5073.3,,,,
T,30.906185682,79.936937175,44R,398411.6,3419689.1,5569.9,,,,
T,30.903449689,79.916800188,44R,396484.2,3419404.4,5548.9,,,,
T,30.900690021,79.900017646,44R,394877.3,3419114.2,5012.9,,,,
T,30.900796099,79.883275991,44R,393277.3,3419141.9,4637.0,,,,
T,30.898073991,79.859807617,44R,391031.3,3418862.9,4275.4,,,,
T,30.898134953,79.849767219,44R,390071.7,3418879.5,4542.9,,,,
T,30.89821495,79.836381645,44R,388792.5,3418901.6,4975.2,,,,
T,30.898496633,79.813160854,44R,386573.4,3418956.2,5366.8,,,,
T,30.898615805,79.793095499,44R,384655.8,3418990.0,5761.4,,,,
T,30.898593653,79.772848323,44R,382720.6,3419008.7,4731.6,,,,
T,30.898572515,79.755993139,44R,381109.6,3419024.2,4681.6,,,,
T,30.898539919,79.732423036,44R,378856.8,3419045.9,4759.7,,,,
T,30.895673992,79.718957426,44R,377566.1,3418743.0,4828.0,,,,
T,30.895636343,79.692085444,44R,374997.6,3418768.6,5259.9,,,,
T,30.89573186,79.665381677,44R,372445.3,3418809.4,5656.4,,,,
T,30.892928462,79.641980066,44R,370204.8,3418525.7,5680.6,,,,
T,30.893022691,79.621996458,44R,368294.8,3418559.5,6262.3,,,,
T,30.89319395,79.598733363,44R,366071.4,3418606.2,6950.0,,,,
T,30.893266205,79.588761896,44R,365118.3,3418626.2,6742.1,,,,
T,30.893489189,79.565525566,44R,362897.6,3418679.3,6008.4,,,,
T,30.893799518,79.542321397,44R,360680.0,3418742.4,5203.1,,,,
T,30.894149576,79.515766279,44R,358142.2,3418814.7,5820.9,,,,
T,30.894428422,79.495831631,44R,356237.2,3418871.1,5007.7,,,,
T,30.894714716,79.475875232,44R,354330.0,3418928.7,4702.7,,,,
T,30.894890161,79.459211073,44R,352737.4,3418970.1,4235.1,,,,
T,30.89468432,79.442472564,44R,351137.1,3418969.5,5034.3,,,,
T,30.894778827,79.42246396,44R,349224.7,3419006.8,5365.2,,,,
T,30.894870384,79.402454763,44R,347312.2,3419044.2,5351.8,,,,
T,30.894958864,79.382445215,44R,345399.6,3419081.6,5173.9,,,,
T,30.895044249,79.362435318,44R,343487.0,3419118.9,5631.5,,,,
T,30.895065319,79.342434614,44R,341575.2,3419149.5,4874.0,,,,
T,30.895073706,79.32244552,44R,339664.5,3419179.0,5507.1,,,,
T,30.895079614,79.299136714,44R,337436.4,3419213.4,5562.7,,,,
T,30.895081066,79.272513312,44R,334891.5,3419252.7,5797.0,,,,
T,30.895161388,79.242538706,44R,332026.3,3419306.3,5669.0,,,,
T,30.895248834,79.232512916,44R,331068.0,3419331.2,5701.8,,,,
T,30.895449682,79.20910448,44R,328830.7,3419389.1,5217.2,,,,
T,30.895534487,79.199065711,44R,327871.3,3419414.0,5241.4,,,,
T,30.895702031,79.178976459,44R,325951.2,3419463.7,5403.4,,,,
T,30.893001069,79.158863643,44R,324023.6,3419195.9,5150.5,,,,
T,30.893134591,79.142098284,44R,322421.1,3419237.2,5716.1,,,,
T,30.890371587,79.128672533,44R,321132.5,3418952.4,5372.7,,,,
T,30.887681002,79.105167655,44R,318880.4,3418692.1,4383.7,,,,
T,30.887617594,79.088571934,44R,317293.7,3418712.1,4621.1,,,,
T,30.884546174,79.058829901,44R,314444.3,3418420.7,5700.3,,,,
T,30.881678108,79.042188291,44R,312847.7,3418130.6,5149.0,,,,
T,30.878806157,79.028882651,44R,311569.9,3417834.6,6139.7,,,,
T,30.875935728,79.012250164,44R,309973.9,3417544.6,6034.3,,,,
T,30.875948474,78.988937017,44R,307744.8,3417586.0,5455.5,,,,
T,30.876112762,78.96537974,44R,305492.7,3417645.0,4944.5,,,,
T,30.876335893,78.951692944,44R,304184.4,3417693.7,5163.4,,,,
T,30.881973895,78.9551801,44R,304529.3,3418312.6,5072.4,,,,
T,30.884934779,78.948363902,44R,303883.6,3418652.8,5412.6,,,,
T,30.88510607,78.938081925,44R,302900.9,3418689.9,5623.0,,,,
T,30.885092411,78.908078075,44R,300032.2,3418741.8,5033.5,,,,
T,30.884929995,78.895021026,44R,298783.5,3418747.3,5065.2,,,,
T,30.884619727,78.868920696,44R,296287.3,3418760.2,6418.8,,,,
T,30.884546878,78.849063051,44R,294388.5,3418788.6,5055.8,,,,
T,30.88478379,78.828584412,44R,292431.0,3418852.8,4773.1,,,,
T,30.885013999,78.811418941,44R,290790.3,3418910.4,4880.9,,,,
T,30.88524195,78.794224752,44R,289146.8,3418968.0,5018.3,,,,
T,30.885558199,78.770104838,44R,286841.2,3419048.9,4869.8,,,,
T,30.885821547,78.749396555,44R,284861.8,3419117.9,4229.2,,,,
T,30.885877352,78.725779964,44R,282603.8,3419169.9,3378.9,,,,
T,30.885877257,78.708994549,44R,280998.9,3419202.7,2742.0,,,,
T,30.885887183,78.692175975,44R,279390.8,3419237.0,2562.5,,,,
T,30.885919449,78.675291875,44R,277776.5,3419274.1,2001.5,,,,
T,30.885949705,78.658401818,44R,276161.5,3419311.2,2492.7,,,,
T,30.885950131,78.638213688,44R,274231.2,3419351.9,2756.7,,,,
T,30.885889527,78.614815649,44R,271993.8,3419392.8,3250.1,,,,
T,30.882983867,78.594696556,44R,270063.1,3419112.0,3412.9,,,,
T,30.882935736,78.577987591,44R,268465.2,3419141.2,3420.2,,,,
T,30.880082451,78.557691692,44R,266517.5,3418867.2,3549.9,,,,
T,30.880087998,78.544175757,44R,265225.0,3418896.2,3327.0,,,,
T,30.877240409,78.527204228,44R,263595.1,3418616.3,2672.9,,,,
T,30.877281486,78.506789439,44R,261642.9,3418664.3,3437.9,,,,
T,30.874504175,78.489536882,44R,259986.1,3418393.4,2793.8,,,,
T,30.871738478,78.468817721,44R,257997.6,3418131.5,3236.7,,,,
T,30.871739051,78.451853286,44R,256375.2,3418168.5,2852.8,,,,
T,30.868855162,78.428095956,44R,254095.7,3417900.8,3249.3,,,,
T,30.868852498,78.41790955,44R,253121.4,3417923.0,2936.2,,,,
T,30.865962304,78.397533413,44R,251165.1,3417647.9,2900.5,,,,
T,30.865665124,78.381673998,44R,249647.4,3417650.4,3614.1,,,,
T,30.859936354,78.364530075,44R,247992.7,3417053.8,3090.2,,,,
T,30.859993021,78.35747783,44R,247318.2,3417076.0,2778.3,,,,
T,30.854332474,78.333147324,44R,244975.9,3416503.7,1933.8,,,,
T,30.848582052,78.312556083,44R,242990.8,3415913.4,2433.9,,,,
T,30.845672429,78.295543365,44R,241355.4,3415630.0,1775.3,,,,
T,30.839873343,78.278531345,44R,239712.2,3415026.6,1636.2,,,,
T,30.83696275,78.264914383,44R,238401.5,3414735.6,1500.4,,,,
T,30.831175942,78.258114501,44R,237735.1,3414109.9,1392.3,,,,
T,30.822507619,78.254727997,44R,237387.5,3413156.7,1450.9,,,,
T,30.808028348,78.244650041,44R,236383.5,3411575.0,1757.6,,,,
T,30.793496692,78.238349986,44R,235740.7,3409978.5,1572.8,,,,
T,30.778973381,78.232055587,44R,235098.3,3408383.0,2184.1,,,,
T,30.767351088,78.232658354,44R,235124.1,3407092.9,2550.9,,,,
T,30.755842082,78.23243594,44R,235071.3,3405817.2,2372.6,,,,
T,30.74720366,78.235779872,44R,235367.9,3404851.5,2540.1,,,,
